startup_name,description,funding_amount,industry,location,employees,website,founders,founder_emails,founder_linkedin,source,batch
OpenUnit,"OpenUnit specializes in the fields of reservation system, merchant solutions, and management software.


SoftwareSelf-Storage

**Quick facts:**

📍HQ: Toronto, Ontario, Canada


1-10 employeesFounded: 2019

**Funding:**

Y Combinator$1M Seed in 2021

**Take action:**

[See who works here 🤝](https://linkedin.com/company/openunit)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/rn-open-unit-a-new-orthopedics-reviews-SRCH_KO0,18_KE19,30.htm)

[Check company site 📌](http://www.openunit.com/?utm_s",$1M,,"Toronto, Ontario, Canada",10,http://www.openunit.com/,,,,topstartups.io,
Clearco,"Clearco is a suite of performance financing products and services tailor-made for founders in all stages.


FinTech

**Quick facts:**

📍HQ: Toronto, Ontario, Canada


501-1000 employeesFounded: 2015

**Funding:**

Founders Fund$215M Series C in 2021$2.0B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/getclearco/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Clearco-EI_IE1566057.11,18.htm)

[Check company site 📌](http://clear.co/?utm_source",$215M,FinTech,"Toronto, Ontario, Canada",1000,http://clear.co/,,,,topstartups.io,
Ada,"Ada is an automated customer experience company that provides chat bots used in customer support.


Artificial IntelligenceCustomer SupportChat

**Quick facts:**

📍HQ: Toronto, Ontario, Canada


201-500 employeesFounded: 2016

**Funding:**

Bessemer$130M Series C in 2021$1.2B valuation

**Take action:**

[See who works here 🤝](https://ca.linkedin.com/company/ada-cx)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Ada-EI_IE2396829.11,14.htm)

[Check company site 📌](http://www.ada.",$130M,Artificial Intelligence,"Toronto, Ontario, Canada",500,http://www.ada.cx/,,,,topstartups.io,
Farmers Edge,"Farmers Edge digitizes farms, from connected field sensors to cloud-based software and services.


AgricultureHardware Software

**Quick facts:**

📍HQ: Winnipeg, Manitoba, Canada


201-500 employeesFounded: 2005

**Funding:**

Kleiner PerkinsPost-IPO$124M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/farmers-edge)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Farmers-Edge-Reviews-E1143660.htm)

[Check company site 📌](http://www.farmersedge.ca/?utm_source=",$124M,,"Winnipeg, Manitoba, Canada",500,http://www.farmersedge.ca/,,,,topstartups.io,
Blockstream,"Blockstream provides Bitcoin and blockchain technology solution for financial markets.



FinTech Crypto

**Quick facts:**

📍HQ: Victoria, British Columbia, Canada


51-100 employeesFounded: 2014

**Funding:**

Khosla Ventures$210M Series B in 2021$3.2B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/blockstream)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Blockstream-EI_IE973923.11,22.htm)

[Check company site 📌](http://www.blockstream.com/?u",$210M,FinTech,"Victoria, British Columbia, Canada",100,http://www.blockstream.com/,,,,topstartups.io,
Deep Genomics,"Deep Genomics is using artificial intelligence to build a new universe of life-saving genetic therapies.


Artificial IntelligenceBiotechHealthcare

**Quick facts:**

📍HQ: Toronto, Ontario, Canada


101-200 employeesFounded: 2014

**Funding:**

Khosla Ventures$180M Series C in 2021$720M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/deep-genomics)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Deep-Genomics-EI_IE1938810.11,24.htm)

[Check compan",$180M,"Biotech, Healthcare, Artificial Intelligence","Toronto, Ontario, Canada",200,http://www.deepgenomics.com/,,,,topstartups.io,
TrueNorth,"TrueNorth offers software that helps truckers manage insurance, fuel, and maintenance.


TransportationSoftware

**Quick facts:**

📍HQ: Toronto, Ontario, Canada


11-50 employeesFounded: 2019

**Funding:**

Y Combinator$4M Seed in 2020$15M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/truenorthfleet)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/TrueNorth-Companies-Reviews-E792757.htm)

[Check company site 📌](https://www.truenorthfleet.com/?utm_source=top",$4M,,"Toronto, Ontario, Canada",50,https://www.truenorthfleet.com/,,,,topstartups.io,
Humi,"Humi is an all-in-one HR, Payroll, and Benefits platform, helping 4,000+ Canadian businesses.


Enterprise SoftwareSaaSSmall & Medium Businesses

**Quick facts:**

📍HQ: Toronto, Ontario, Canada


51-100 employeesFounded: 2016

**Funding:**

Y Combinator$11M Series A in 2020

**Take action:**

[See who works here 🤝](https://linkedin.com/company/15197446)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Humi-EI_IE1882902.11,15.htm)

[Check company site 📌](http://www.humi.ca/?utm_sou",$11M,"Enterprise Software, SaaS","Toronto, Ontario, Canada",100,http://www.humi.ca/,,,,topstartups.io,
Cover,"Cover allows its users to insure anything by taking a picture of what they need to insure.


FinTechInsuranceApp

**Quick facts:**

📍HQ: Toronto, Ontario, Canada


51-100 employeesFounded: 2016

**Funding:**

Y Combinator$10M Series B in 2019

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/cover-./)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Cover-EI_IE2203060.11,16.htm)

[Check company site 📌](http://www.usecover.com/?utm_source=topstartups.io)

[",$10M,FinTech,"Toronto, Ontario, Canada",100,http://www.usecover.com/,,,,topstartups.io,
Pogo,"Help over 2M+ users earn and save by unlocking the power of their data; engagement on par with Instagram & Twitter; 7-figure revenue per employee.


Consumer Mobile App FinTech

**Quick facts:**

📍HQ: Brooklyn, New York, USA


11-50 employeesFounded: 2020

**Funding:**

20VC Josh Buckley Founders of Honey & CartaSeries A in 2025

**Founders:**

Leaders at $1B+ startups; Northwestern alums 🚀


**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/joinpogo/)

[Check company sit",$1B,FinTech,"Brooklyn, New York, USA",50,https://www.joinpogo.com/,,,,topstartups.io,
Blossom,"Building AI Copilots & Agents for Psychiatry. Come make mental healthcare affordable, accessible, and clinically-effective for every American.


Artificial Intelligence Healthcare

**Quick facts:**

📍HQ: New York, New York, USA


1-10 employeesFounded: 2024

**Funding:**

Headline Village Global Operator Partners Correlation Ventures Founder of General Catalyst$20M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/join-blossom-health)

[Read reviews ⭐](h",$20M,"Healthcare, Artificial Intelligence","New York, New York, USA",10,https://joinblossomhealth.com/,,,,topstartups.io,
Listen Labs,"Listen Labs is an autonomous market researcher that makes deep customer conversations fast and scalable.


Artificial Intelligence Enterprise Software

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2023

**Funding:**

Sequoia$27M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/listenlabss)

[Check company site 📌](https://listenlabs.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/listenlabs",$27M,"Enterprise Software, Artificial Intelligence","San Francisco Bay Area, California, USA",50,https://listenlabs.ai/,,,,topstartups.io,
Traba,"Building AI agents and other technologies to completely disrupt the industrial supply chain.


Marketplace Supply Chain Artificial Intelligence

**Quick facts:**

📍HQ: New York, New York, USA


101-200 employeesFounded: 2021

**Funding:**

Founders Fund Khosla Ventures General Catalyst$45M Series A in 2023

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/traba-work)

[Check company site 📌](https://traba.work/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.",$45M,Artificial Intelligence,"New York, New York, USA",200,https://traba.work/,,,,topstartups.io,
OpenRouter,"Platform that connects AI applications with LLMs and cloud hosting providers


Artificial Intelligence

**Quick facts:**

📍HQ: Remote


1-10 employeesFounded: 2023

**Funding:**

Sequoia Andreessen Horowitz$40M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/openrouter)

[Check company site 📌](https://openrouter.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/openrouter/?utm_source=topstartups.io)

[![Vivodyne startup company logo]",$40M,Artificial Intelligence,Remote,10,https://openrouter.ai/,,,,topstartups.io,
Vivodyne,"Accelerates drug discovery using lab-grown human tissues, robotics, and AI to generate accurate preclinical test data


Artificial Intelligence Biotech Healthcare

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2022

**Funding:**

Khosla Ventures$40M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/vivodyne)

[Check company site 📌](https://www.vivodyne.com//?utm_source=topstartups.io)

[View Jobs](https://job-bo",$40M,"Biotech, Healthcare, Artificial Intelligence","San Francisco Bay Area, California, USA",50,https://www.vivodyne.com//,,,,topstartups.io,
Reflect Orbital,"Delivering sunlight by building a constellation of in-space mirrors


Hardware

**Quick facts:**

📍HQ: Los Angeles, California, USA


11-50 employeesFounded: 2021

**Funding:**

Sequoia$20M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/reflectorbital)

[Check company site 📌](https://www.reflectorbital.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/reflect-orbital?utm_source=topstartups.io)

[![Ataraxis startup company logo](htt",$20M,,"Los Angeles, California, USA",50,https://www.reflectorbital.com/,,,,topstartups.io,
Ataraxis,"Transforming cancer care care with AI precision medicine


Artificial Intelligence Healthcare

**Quick facts:**

📍HQ: New York, New York, USA


11-50 employeesFounded: 2022

**Funding:**

Founders Fund$20M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/ataraxis-ai)

[Check company site 📌](https://www.ataraxis.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/ataraxis-ai?utm_source=topstartups.io)

[![Stainless startup company logo](",$20M,"Healthcare, Artificial Intelligence","New York, New York, USA",50,https://www.ataraxis.ai/,,,,topstartups.io,
Stainless,"Stainless is building the platform for high-quality, easy-to-use APIs


SaaS Enterprise Software

**Quick facts:**

📍HQ: New York, New York, USA


11-50 employeesFounded: 2022

**Funding:**

Andreessen Horowitz Sequoia$25M Series A in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/stainless-api)

[Check company site 📌](https://www.stainlessapi.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/stainlessapi?utm_source=topstartups.io)

[![Basis s",$25M,"Enterprise Software, SaaS","New York, New York, USA",50,https://www.stainlessapi.com/,,,,topstartups.io,
Basis,"AI agents built specifically for accountants


SaaS Artificial Intelligence

**Quick facts:**

📍HQ: New York, New York, USA


1-10 employeesFounded: 2023

**Funding:**

Khosla Ventures$34M Series A in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/get-basis-ai)

[Check company site 📌](https://www.getbasis.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/basis-ai?utm_source=topstartups.io)

[![Physical Intelligence startup company logo](https:/",$34M,"Artificial Intelligence, SaaS","New York, New York, USA",10,https://www.getbasis.ai/,,,,topstartups.io,
Physical Intelligence,"Develop AI for robots and other physical devices


Artificial Intelligence Hardware

**Quick facts:**

📍HQ: Remote


11-50 employeesFounded: 2024

**Funding:**

Sequoia Khosla Ventures$400M Series A in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/physical-intelligence/)

[Check company site 📌](https://www.physicalintelligence.company/?utm_source=topstartups.io)

[View Jobs](https://www.physicalintelligence.company/join-us?utm_source=topstartups.io)

[![World La",$400M,Artificial Intelligence,Remote,50,https://www.physicalintelligence.company/,,,,topstartups.io,
World Labs,"Develops AI models with spatial intelligence for 3D world perception and interaction


Artificial Intelligence

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2023

**Funding:**

Andreessen Horowitz$230M Series A in 2024$1.0B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/world-labs/)

[Check company site 📌](https://www.worldlabs.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/worldlabs?utm_sourc",$230M,Artificial Intelligence,"San Francisco Bay Area, California, USA",50,https://www.worldlabs.ai/,,,,topstartups.io,
Thatch,"Helps startups give great healthcare to their teams


Healthcare Artificial Intelligence

**Quick facts:**

📍HQ: Remote


11-50 employeesFounded: 2021

**Funding:**

Andreessen Horowitz$38M Series A in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/thatch-ai/)

[Check company site 📌](https://thatch.ai/?utm_source=topstartups.io)

[View Jobs](https://thatch.ai/jobs?utm_source=topstartups.io)

[![Safe Superintelligence startup company logo](https://images.crunchbas",$38M,"Healthcare, Artificial Intelligence",Remote,50,https://thatch.ai/,,,,topstartups.io,
Safe Superintelligence,"World's first straight-shot safe superintelligence lab


Artificial Intelligence

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


1-10 employeesFounded: 2024

**Funding:**

Sequoia Andreessen Horowitz$1B Series A in 2024

**Take action:**

[See who works here 🤝](https://topstartups.io/target=%22_blank%22)

[Check company site 📌](https://ssi.inc/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/ssi/b91659e4-9352-46fa-b3c5-4fb28827eb2e?utm_source=topstartups.io)

[",$1B,Artificial Intelligence,"San Francisco Bay Area, California, USA",10,https://ssi.inc/,,,,topstartups.io,
Harmonic,"Building the world’s most advanced mathematical reasoning engine


Artificial Intelligence

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2023

**Funding:**

Sequoia$75M Series A in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/harmonicmath/)

[Check company site 📌](https://harmonic.fun/index/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/Harmonic?utm_source=topstartups.io)

[![Sahara AI startup compa",$75M,Artificial Intelligence,"San Francisco Bay Area, California, USA",50,https://harmonic.fun/index/,,,,topstartups.io,
Sahara AI,"Decentralized AI blockchain platform that prioritizes sovereignty and provenance of AI


Artificial Intelligence Crypto

**Quick facts:**

📍HQ: Remote


51-100 employeesFounded: 2023

**Funding:**

Sequoia$43M Series A in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/saharalabs-ai/)

[Check company site 📌](https://saharalabs.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/Sahara/?utm_source=topstartups.io)

[![Allium startup company logo](ht",$43M,Artificial Intelligence,Remote,100,https://saharalabs.ai/,,,,topstartups.io,
